Method;Threads;Rows;Columns;Centre;All Values;Time
Serial;1;513;513;4;4;113.110000
OpemMP;24;1813;1813;4;4;1145.824390
OpemMP;24;1013;1013;4;4;115.835118
Serial;1;513;513;4;4;117.970000
Serial;1;913;913;4;4;1180.740000
OpemMP;24;513;513;526338;0;12.680284
OpemMP;24;613;613;526338;0;12.913869
Serial;1;513;513;526338;0;121.590000
Serial;1;513;513;526338;0;130.590000
OpemMP;24;713;713;526338;0;14.852172
Serial;1;513;513;4;4;140.100000
Serial;1;513;513;526338;0;140.590000
OpemMP;24;1913;1913;4;4;1414.212237
Serial;1;613;613;526338;0;154.630000
OpemMP;24;613;613;4;4;16.593825
OpemMP;24;813;813;526338;0;16.745363
OpemMP;24;1113;1113;4;4;166.670946
Serial;1;1013;1013;4;4;1729.640000
OpemMP;24;2013;2013;4;4;1734.365226
Serial;1;713;713;526338;0;184.390000
OpemMP;24;2113;2113;4;4;2094.086951
OpemMP;24;913;913;526338;0;21.232186
Serial;1;813;813;526338;0;223.050000
OpemMP;24;1213;1213;4;4;233.449000
OpemMP;24;1013;1013;526338;0;24.254846
OpemMP;24;1113;1113;526338;0;24.856137
OpemMP;24;1213;1213;526338;0;24.864403
OpemMP;24;1313;1313;526338;0;24.901728
Serial;1;613;613;4;4;244.370000
OpemMP;24;1413;1413;526338;0;25.084993
OpemMP;24;1513;1513;526338;0;25.743995
Serial;1;1113;1113;4;4;2507.120000
OpemMP;24;2213;2213;4;4;2512.270497
Serial;1;913;913;526338;0;257.960000
Serial;1;1013;1013;526338;0;283.100000
OpemMP;24;713;713;4;4;29.711443
OpemMP;24;1613;1613;526338;0;30.180562
OpemMP;24;1313;1313;4;4;321.876959
Serial;1;1113;1113;526338;0;328.050000
Serial;1;1213;1213;4;4;3481.310000
OpemMP;24;1713;1713;526338;0;35.526680
OpemMP;24;1813;1813;526338;0;36.816506
OpemMP;24;2113;2113;526338;0;36.922134
OpemMP;24;1913;1913;526338;0;37.147901
OpemMP;24;2013;2013;526338;0;37.371458
OpemMP;24;2213;2213;526338;0;37.782538
Serial;1;1213;1213;526338;0;376.620000
OpemMP;24;2313;2313;526338;0;41.247444
OpemMP;24;1413;1413;4;4;428.025941
Serial;1;1313;1313;526338;0;430.250000
Serial;1;713;713;4;4;448.530000
Serial;1;1313;1313;4;4;4751.120000
Serial;1;1413;1413;526338;0;488.780000
OpemMP;24;813;813;4;4;49.951373
OpemMP;24;1513;1513;4;4;560.641947
Serial;1;813;813;4;4;708.070000
Serial;1;813;813;4;4;708.070000
OpemMP;24;1613;1613;4;4;715.827982
Serial;1;813;813;4;4;751.870000
OpemMP;24;913;913;4;4;78.028678
OpemMP;24;513;513;4;4;8.914259
OpemMP;24;1713;1713;4;4;916.630190
